,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,ACC.NS,ADANIENT.NS,DMART.NS,GODHA.NS,HDFCBANK.NS,ICICIBANK.NS,ITC.NS,LANCER.BO,MANKIND.NS,RELIANCE.NS,SUZLON.NS,TATAMOTORS.NS,^NSEI,ACC.NS,ADANIENT.NS,DMART.NS,GODHA.NS,HDFCBANK.NS,ICICIBANK.NS,ITC.NS,LANCER.BO,MANKIND.NS,RELIANCE.NS,SUZLON.NS,TATAMOTORS.NS,^NSEI,ACC.NS,ADANIENT.NS,DMART.NS,GODHA.NS,HDFCBANK.NS,ICICIBANK.NS,ITC.NS,LANCER.BO,MANKIND.NS,RELIANCE.NS,SUZLON.NS,TATAMOTORS.NS,^NSEI,ACC.NS,ADANIENT.NS,DMART.NS,GODHA.NS,HDFCBANK.NS,ICICIBANK.NS,ITC.NS,LANCER.BO,MANKIND.NS,RELIANCE.NS,SUZLON.NS,TATAMOTORS.NS,^NSEI,ACC.NS,ADANIENT.NS,DMART.NS,GODHA.NS,HDFCBANK.NS,ICICIBANK.NS,ITC.NS,LANCER.BO,MANKIND.NS,RELIANCE.NS,SUZLON.NS,TATAMOTORS.NS,^NSEI,ACC.NS,ADANIENT.NS,DMART.NS,GODHA.NS,HDFCBANK.NS,ICICIBANK.NS,ITC.NS,LANCER.BO,MANKIND.NS,RELIANCE.NS,SUZLON.NS,TATAMOTORS.NS,^NSEI
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01 00:00:00,1339.9451904296875,206.01315307617188,1828.5,0.6150000095367432,1244.189697265625,527.6472778320312,201.11422729492188,35.48948669433594,,1475.384033203125,1.899999976158142,183.8769073486328,12182.5,1440.0999755859375,207.85000610351562,1828.5,0.6150000095367432,1278.5999755859375,536.75,238.10000610351562,35.5,,1495.4249267578125,1.899999976158142,184.4499969482422,12182.5,1457.0,210.4499969482422,1867.0,0.6150000095367432,1280.0,542.5,238.60000610351562,36.0,,1512.760498046875,1.9500000476837158,186.6999969482422,12222.2001953125,1438.199951171875,206.64999389648438,1820.0,0.6150000095367432,1270.5999755859375,535.7000122070312,237.10000610351562,34.04999923706055,,1491.3634033203125,1.850000023841858,183.60000610351562,12165.2998046875,1452.5,209.0,1849.699951171875,0.6150000095367432,1276.0999755859375,539.9000244140625,238.60000610351562,36.0,,1503.7459716796875,1.850000023841858,185.14999389648438,12202.150390625,321092,1553127,429407,0,1836849,7642793,4208837,2761,,6463060,7139975,25968357,304100.0
2020-01-02 00:00:00,1389.212890625,209.33352661132812,1824.199951171875,0.6150000095367432,1252.120361328125,531.4319458007812,202.59243774414062,36.68913269042969,,1500.5015869140625,2.25,193.14801025390625,12282.2001953125,1493.050048828125,211.1999969482422,1824.199951171875,0.6150000095367432,1286.75,540.5999755859375,239.85000610351562,36.70000076293945,,1520.883544921875,2.25,193.75,12282.2001953125,1501.699951171875,213.1999969482422,1854.8499755859375,0.6150000095367432,1288.0,541.9000244140625,240.9499969482422,37.0,,1526.48046875,2.25,194.6999969482422,12289.900390625,1442.0,207.5,1815.0,0.6150000095367432,1279.0,535.8499755859375,238.10000610351562,35.0,,1497.8023681640625,1.899999976158142,184.60000610351562,12195.25,1442.0,208.0,1831.0,0.6150000095367432,1279.0,536.0,238.1999969482422,35.79999923706055,,1497.8023681640625,1.899999976158142,185.0,12198.5498046875,1503364,2991937,459356,0,3068583,10264223,8402979,8255,,8173308,26216027,57289863,407700.0
2020-01-03 00:00:00,1373.627685546875,206.45916748046875,1843.550048828125,0.6150000095367432,1234.26416015625,529.7116088867188,201.45213317871094,37.988746643066406,,1502.309814453125,2.700000047683716,190.50625610351562,12226.650390625,1476.300048828125,208.3000030517578,1843.550048828125,0.6150000095367432,1268.4000244140625,538.8499755859375,238.5,38.0,,1522.7161865234375,2.700000047683716,191.10000610351562,12226.650390625,1494.0,212.35000610351562,1853.0,0.6150000095367432,1285.0,540.7999877929688,241.0,38.0,,1527.1739501953125,2.700000047683716,195.64999389648438,12265.599609375,1467.0999755859375,205.8000030517578,1827.0,0.6150000095367432,1263.5999755859375,536.25,238.0,36.099998474121094,,1508.6990966796875,2.5,189.25,12191.349609375,1493.0,210.25,1827.0,0.6150000095367432,1282.199951171875,538.0,241.0,38.0,,1518.6051025390625,2.700000047683716,192.89999389648438,12261.099609375,568262,2512421,394268,0,5427775,9594690,9284478,1480,,9684434,122330220,47572728,428800.0
2020-01-06 00:00:00,1335.7117919921875,197.78648376464844,1789.9000244140625,0.6150000095367432,1207.5528564453125,516.78466796875,198.58026123046875,37.53887939453125,,1467.4676513671875,3.200000047683716,185.07318115234375,11993.0498046875,1435.550048828125,199.5500030517578,1789.9000244140625,0.6150000095367432,1240.949951171875,525.7000122070312,235.10000610351562,37.54999923706055,,1487.40087890625,3.200000047683716,185.64999389648438,11993.0498046875,1469.8499755859375,207.75,1829.0,0.6150000095367432,1261.800048828125,537.25,238.3000030517578,38.5,,1513.552978515625,3.200000047683716,191.0,12179.099609375,1430.550048828125,197.75,1780.0,0.6150000095367432,1236.0,523.7999877929688,235.0,37.04999923706055,,1483.933837890625,2.700000047683716,185.0500030517578,11974.2001953125,1462.0999755859375,207.75,1827.0,0.6150000095367432,1260.0,537.25,237.5,38.0,,1505.7271728515625,2.950000047683716,191.0,12170.599609375,408807,4353179,398623,0,5445093,12534334,7636617,181,,11315596,142375811,28621212,396500.0
2020-01-07 00:00:00,1354.739501953125,202.24671936035156,1815.75,0.6150000095367432,1226.674072265625,514.0321655273438,198.79141235351562,37.18898391723633,,1490.044189453125,3.5,184.12612915039062,12052.9501953125,1456.0,204.0500030517578,1815.75,0.6150000095367432,1260.5999755859375,522.9000244140625,235.35000610351562,37.20000076293945,,1510.2840576171875,3.5,184.6999969482422,12052.9501953125,1465.050048828125,205.6999969482422,1837.5,0.6150000095367432,1271.449951171875,535.5999755859375,237.89999389648438,39.0,,1520.091064453125,3.5,189.39999389648438,12152.150390625,1436.0,200.5500030517578,1805.0,0.6150000095367432,1252.25,521.6500244140625,234.60000610351562,37.0,,1499.2882080078125,3.450000047683716,182.3000030517578,12005.349609375,1450.0,200.5500030517578,1805.0,0.6150000095367432,1258.9000244140625,531.2999877929688,236.0500030517578,39.0,,1504.736572265625,3.450000047683716,187.0,12079.099609375,863805,2966120,459172,0,7362247,16101835,8416741,274,,7699489,10855264,34995035,447800.0
2020-01-08 00:00:00,1360.8804931640625,199.71925354003906,1829.050048828125,0.6150000095367432,1223.462890625,517.0303955078125,197.82005310058594,36.939056396484375,,1478.853759765625,3.1500000953674316,181.98281860351562,12025.349609375,1462.5999755859375,201.5,1829.050048828125,0.6150000095367432,1257.300048828125,525.9500122070312,234.1999969482422,36.95000076293945,,1498.9415283203125,3.1500000953674316,182.5500030517578,12025.349609375,1477.0,203.5500030517578,1837.050048828125,0.6150000095367432,1262.1500244140625,527.3499755859375,235.8000030517578,37.0,,1520.04150390625,3.450000047683716,184.1999969482422,12044.9501953125,1435.0,194.5500030517578,1785.0999755859375,0.6150000095367432,1240.050048828125,515.0,233.25,35.0,,1495.8211669921875,3.1500000953674316,180.1999969482422,11929.599609375,1435.0,201.0,1793.0,0.6150000095367432,1246.949951171875,516.0,234.0,37.0,,1500.774169921875,3.450000047683716,180.1999969482422,11939.099609375,981496,5762654,352087,0,5666055,16094310,7043211,1093,,7406104,48530182,21862695,446000.0
2020-01-09 00:00:00,1382.7928466796875,206.1618194580078,1880.550048828125,0.6150000095367432,1237.18359375,537.0352783203125,199.17152404785156,40.68794631958008,,1512.9136962890625,2.8499999046325684,191.40345764160156,12215.900390625,1486.1500244140625,208.0,1880.550048828125,0.6150000095367432,1271.4000244140625,546.2999877929688,235.8000030517578,40.70000076293945,,1533.4642333984375,2.8499999046325684,192.0,12215.900390625,1491.949951171875,208.89999389648438,1904.0,0.6150000095367432,1275.800048828125,547.4000244140625,236.60000610351562,40.95000076293945,,1535.445556640625,2.8499999046325684,192.75,12224.0498046875,1470.9000244140625,201.89999389648438,1826.5999755859375,0.6150000095367432,1263.0999755859375,530.2999877929688,235.0500030517578,37.0,,1516.87158203125,2.8499999046325684,184.25,12132.5498046875,1478.0,201.89999389648438,1850.0,0.6150000095367432,1265.0,530.7000122070312,235.60000610351562,38.0,,1524.152587890625,2.8499999046325684,184.85000610351562,12153.150390625,685751,3496063,1572364,0,4773158,18934019,9452653,4780,,6914533,4490139,40803142,477500.0
2020-01-10 00:00:00,1406.100341796875,207.25209045410156,1876.949951171875,0.6150000095367432,1248.1793212890625,531.0879516601562,201.02978515625,40.637962341308594,,1512.5716552734375,2.5999999046325684,195.7399444580078,12256.7998046875,1511.199951171875,209.10000610351562,1876.949951171875,0.6150000095367432,1282.699951171875,540.25,238.0,40.650001525878906,,1533.1175537109375,2.5999999046325684,196.35000610351562,12256.7998046875,1525.0,213.0,1897.9000244140625,0.6150000095367432,1286.9000244140625,546.5,238.75,43.0,,1543.32080078125,2.75,199.0,12311.2001953125,1487.25,205.89999389648438,1865.0999755859375,0.6150000095367432,1275.0999755859375,538.5,236.8000030517578,40.0,,1525.1927490234375,2.5999999046325684,190.0,12213.2001953125,1495.0,208.0,1886.0,0.6150000095367432,1284.0999755859375,544.9000244140625,237.60000610351562,42.0,,1537.32763671875,2.6500000953674316,192.0,12271.0,1109054,2769132,697206,0,4607290,12335407,9973746,746,,5758760,40774989,60252338,660600.0
